,gameID,gameDate,Team,Opponent,homeRoad,gamesPlayed,Win,Loss,OTLoss,points,pointPct,regulationWins,regulationAndOtWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,powerPlayPct,penaltyKillPct,powerPlayNetPct,penaltyKillNetPct,shotsForPerGame,shotsAgainstPerGame,faceoffWinPct,Year,Month,Season,gameNumber,NonRegulationTime,Result,streak_Win,streak_Loss,rolling_goalsFor,rolling_goalsAgainst,rolling_shotGoalsPct,rolling_savePct,rolling_Win,rolling_Loss,rolling_powerPlayPct,rolling_penaltyKillPct,rolling_Result,rolling_shotsFor,rolling_shotsAgainst,rolling_powerPlayNetPct,rolling_penaltyKillNetPct,rolling_homeWin,rolling_roadWin
53,2019020181,2019-10-29,13,3,1,1,0,1,0,0,0.0,0,0,0,1,4,1.0,4.0,0.0,0.75,0.0,0.75,30.0,42.0,0.54,2019,10,2019-2020,11,False,0,0,1,1.0,4.0,0.03,0.9,0.0,1.0,0.0,0.75,0.0,30.0,42.0,0.0,0.75,0.0,0.0
54,2019020180,2019-10-29,14,10,1,1,1,0,0,2,1.0,0,1,0,4,3,4.0,3.0,0.29,0.88,0.29,0.88,33.0,31.0,0.4,2019,10,2019-2020,14,False,1,2,0,4.25,3.75,0.14,0.89,0.75,0.0,0.2,0.86,0.75,30.0,35.0,0.07,0.91,0.75,0.0
55,2019020184,2019-10-29,21,16,1,1,0,1,0,0,0.0,0,0,0,1,3,1.0,3.0,0.0,0.67,0.0,0.67,32.0,28.0,0.41,2019,10,2019-2020,13,False,0,0,2,2.33,4.0,0.07,0.86,0.33,0.67,0.11,0.72,0.33,32.67,28.33,0.11,0.72,0.0,0.0
56,2019020184,2019-10-29,16,21,0,1,1,0,0,2,1.0,1,1,0,3,1,3.0,1.0,0.33,1.0,0.33,1.0,28.0,32.0,0.59,2019,10,2019-2020,13,False,1,1,0,2.33,2.67,0.08,0.88,0.33,0.33,0.22,0.72,0.33,34.0,25.67,0.22,0.72,0.0,0.33
57,2019020187,2019-10-29,23,29,0,1,1,0,0,2,1.0,1,1,0,7,4,7.0,4.0,0.0,1.0,0.0,1.0,28.0,40.0,0.48,2019,10,2019-2020,14,False,1,1,0,3.75,3.25,0.15,0.92,0.5,0.5,0.21,0.79,0.5,25.0,38.75,0.21,0.79,0.0,1.0
58,2019020186,2019-10-29,24,28,0,1,1,0,0,2,1.0,1,1,0,6,3,6.0,3.0,0.25,0.5,0.25,0.5,37.0,22.0,0.62,2019,10,2019-2020,14,False,1,1,0,2.5,2.0,0.07,0.92,0.75,0.25,0.11,0.5,0.75,33.5,24.75,0.11,0.5,0.0,0.75
59,2019020179,2019-10-29,26,6,1,1,0,1,0,0,0.0,0,0,0,1,5,1.0,5.0,0.33,0.75,0.33,0.75,17.0,41.0,0.5,2019,10,2019-2020,13,False,0,0,3,1.33,4.67,0.06,0.85,0.0,1.0,0.17,0.92,0.0,23.33,32.67,0.17,0.92,0.0,0.0
60,2019020186,2019-10-29,28,24,1,1,0,1,0,0,0.0,0,0,0,3,6,3.0,6.0,0.5,0.75,0.5,0.75,22.0,37.0,0.38,2019,10,2019-2020,12,False,0,0,1,4.0,3.5,0.16,0.9,0.5,0.5,0.25,0.88,0.5,24.5,34.0,0.25,0.88,0.0,0.0
61,2019020187,2019-10-29,29,23,1,1,0,1,0,0,0.0,0,0,0,4,7,4.0,7.0,0.0,1.0,0.0,1.0,40.0,28.0,0.52,2019,10,2019-2020,13,False,0,0,1,2.67,3.67,0.07,0.88,0.33,0.67,0.07,0.81,0.33,37.67,33.0,0.07,0.81,0.0,0.0
62,2019020182,2019-10-29,5,4,0,1,1,0,0,2,1.0,1,1,0,7,1,7.0,1.0,0.0,1.0,0.0,1.0,37.0,30.0,0.46,2019,10,2019-2020,13,False,1,2,0,4.0,1.33,0.12,0.97,0.67,0.33,0.0,0.92,0.67,34.33,34.33,0.0,0.92,0.0,1.0
63,2019020182,2019-10-29,4,5,1,1,0,1,0,0,0.0,0,0,0,1,7,1.0,7.0,0.0,1.0,0.0,1.0,30.0,37.0,0.54,2019,10,2019-2020,11,False,0,0,1,1.0,7.0,0.03,0.81,0.0,1.0,0.0,1.0,0.0,30.0,37.0,0.0,1.0,0.0,0.0
64,2019020183,2019-10-29,19,11,1,1,0,1,0,0,0.0,0,0,0,1,2,1.0,2.0,0.0,0.67,0.0,0.67,29.0,28.0,0.47,2019,10,2019-2020,14,False,0,0,2,2.5,3.5,0.09,0.88,0.25,0.5,0.23,0.87,0.25,29.5,31.5,0.23,0.87,0.0,0.0
65,2019020188,2019-10-30,13,1,1,1,1,0,0,2,1.0,0,1,0,7,6,7.0,6.0,1.0,0.8,1.0,0.8,23.0,42.0,0.41,2019,10,2019-2020,12,False,1,1,0,4.0,5.0,0.17,0.88,0.5,0.5,0.5,0.78,0.5,26.5,42.0,0.5,0.78,0.5,0.0
66,2019020189,2019-10-30,21,27,1,1,1,0,0,2,1.0,1,1,0,4,1,4.0,1.0,0.2,0.67,0.2,0.67,31.0,24.0,0.39,2019,10,2019-2020,14,False,1,1,0,2.75,3.25,0.08,0.88,0.5,0.5,0.13,0.71,0.5,32.25,27.25,0.13,0.71,0.5,0.0
67,2019020192,2019-10-30,8,30,1,1,1,0,0,2,1.0,1,1,0,4,1,4.0,1.0,0.0,1.0,0.0,1.0,36.0,33.0,0.52,2019,10,2019-2020,12,False,1,2,0,4.5,1.5,0.12,0.95,1.0,0.0,0.25,1.0,1.0,37.0,32.0,0.25,1.0,1.0,0.0
68,2019020191,2019-10-30,12,20,1,1,1,0,0,2,1.0,0,1,0,4,3,4.0,3.0,0.25,1.0,0.25,1.0,38.0,30.0,0.5,2019,10,2019-2020,13,False,1,1,0,4.0,4.0,0.13,0.88,0.67,0.33,0.25,0.89,0.67,32.67,30.67,0.25,0.89,0.67,0.0
69,2019020190,2019-10-30,18,28,0,1,1,0,0,2,1.0,1,1,0,2,1,2.0,1.0,0.0,1.0,0.0,1.0,26.0,36.0,0.58,2019,10,2019-2020,13,False,1,2,0,2.33,2.67,0.11,0.91,0.67,0.33,0.17,0.81,0.67,24.0,31.0,0.17,0.81,0.0,1.0
70,2019020192,2019-10-30,30,8,0,1,0,1,0,0,0.0,0,0,0,1,4,1.0,4.0,0.0,1.0,0.0,1.0,33.0,36.0,0.48,2019,10,2019-2020,12,False,0,0,1,1.5,3.0,0.04,0.91,0.5,0.5,0.25,0.75,0.5,38.5,31.0,0.25,0.75,0.0,0.0
71,2019020193,2019-10-30,22,25,1,1,1,0,0,2,1.0,1,1,0,5,3,5.0,3.0,0.67,0.83,0.67,0.83,49.0,24.0,0.65,2019,10,2019-2020,12,False,1,2,0,6.0,2.5,0.15,0.91,1.0,0.0,0.34,0.66,1.0,42.5,27.5,0.34,0.67,1.0,0.0
72,2019020189,2019-10-30,27,21,0,1,0,1,0,0,0.0,0,0,0,1,4,1.0,4.0,0.33,0.8,0.33,0.8,24.0,31.0,0.61,2019,10,2019-2020,12,False,0,0,2,2.5,5.5,0.1,0.86,0.0,1.0,0.16,0.65,0.0,25.0,38.5,0.06,0.65,0.0,0.0
73,2019020190,2019-10-30,28,18,1,1,0,1,0,0,0.0,0,0,0,1,2,1.0,2.0,0.0,1.0,0.0,1.0,36.0,26.0,0.42,2019,10,2019-2020,13,False,0,0,2,3.0,3.0,0.12,0.91,0.33,0.67,0.17,0.92,0.33,28.33,31.33,0.17,0.92,0.0,0.0
74,2019020193,2019-10-30,25,22,0,1,0,1,0,0,0.0,0,0,0,3,5,3.0,5.0,0.17,0.33,0.17,0.33,24.0,49.0,0.35,2019,10,2019-2020,13,False,0,0,3,1.67,5.0,0.06,0.84,0.0,1.0,0.06,0.78,0.0,31.33,34.0,0.06,0.78,0.0,0.0
75,2019020191,2019-10-30,20,12,0,1,0,0,1,1,0.5,0,0,0,3,4,3.0,4.0,0.0,0.75,0.0,0.75,30.0,38.0,0.5,2019,10,2019-2020,12,True,0,0,2,2.5,4.5,0.08,0.85,0.0,0.5,0.16,0.71,0.0,33.5,32.5,0.16,0.71,0.0,0.0
